sku_id,location_id,echelon_type,date,forecast,lead_time,service_level
SKU_1,LOC_A,DC,2024-01-07,76.33,9,0.95
SKU_1,LOC_A,DC,2024-01-14,68.79,9,0.95
SKU_1,LOC_A,DC,2024-01-21,103.64,9,0.95
SKU_1,LOC_A,DC,2024-01-28,123.57,9,0.95
SKU_1,LOC_A,DC,2024-02-04,100.05,9,0.95
SKU_1,LOC_A,DC,2024-02-11,105.36,9,0.95
SKU_1,LOC_A,DC,2024-02-18,103.81,9,0.95
SKU_1,LOC_A,DC,2024-02-25,62.47,9,0.95
SKU_1,LOC_A,DC,2024-03-03,79.77,9,0.95
SKU_1,LOC_A,DC,2024-03-10,77.22,9,0.95
SKU_1,LOC_A,DC,2024-03-17,100.97,9,0.95
SKU_1,LOC_A,DC,2024-03-24,82.09,9,0.95
SKU_1,LOC_A,DC,2024-03-31,92.9,9,0.95
SKU_1,LOC_A,DC,2024-04-07,70.05,9,0.95
SKU_1,LOC_A,DC,2024-04-14,99.67,9,0.95
SKU_1,LOC_A,DC,2024-04-21,101.9,9,0.95
SKU_1,LOC_A,DC,2024-04-28,71.64,9,0.95
SKU_1,LOC_A,DC,2024-05-05,52.98,9,0.95
SKU_1,LOC_A,DC,2024-05-12,95.63,9,0.95
SKU_1,LOC_A,DC,2024-05-19,66.89,9,0.95
SKU_1,LOC_A,DC,2024-05-26,68.77,9,0.95
SKU_1,LOC_A,DC,2024-06-02,80.06,9,0.95
SKU_1,LOC_A,DC,2024-06-09,64.63,9,0.95
SKU_1,LOC_A,DC,2024-06-16,97.18,9,0.95
SKU_1,LOC_A,DC,2024-06-23,106.93,9,0.95
SKU_1,LOC_A,DC,2024-06-30,57.95,9,0.95
SKU_1,LOC_A,DC,2024-07-07,57.71,9,0.95
SKU_1,LOC_A,DC,2024-07-14,95.03,9,0.95
SKU_1,LOC_A,DC,2024-07-21,49.82,9,0.95
SKU_1,LOC_A,DC,2024-07-28,65.95,9,0.95
SKU_1,LOC_A,DC,2024-08-04,109.91,9,0.95
SKU_1,LOC_A,DC,2024-08-11,119.17,9,0.95
SKU_1,LOC_A,DC,2024-08-18,79.38,9,0.95
SKU_1,LOC_A,DC,2024-08-25,113.53,9,0.95
SKU_1,LOC_A,DC,2024-09-01,101.23,9,0.95
SKU_1,LOC_A,DC,2024-09-08,86.85,9,0.95
SKU_1,LOC_A,DC,2024-09-15,104.86,9,0.95
SKU_1,LOC_A,DC,2024-09-22,97.52,9,0.95
SKU_1,LOC_A,DC,2024-09-29,111.14,9,0.95
SKU_1,LOC_A,DC,2024-10-06,77.23,9,0.95
SKU_1,LOC_A,DC,2024-10-13,74.14,9,0.95
SKU_1,LOC_A,DC,2024-10-20,93.14,9,0.95
SKU_1,LOC_A,DC,2024-10-27,73.23,9,0.95
SKU_1,LOC_A,DC,2024-11-03,51.85,9,0.95
SKU_1,LOC_A,DC,2024-11-10,104.43,9,0.95
SKU_1,LOC_A,DC,2024-11-17,85.65,9,0.95
SKU_1,LOC_A,DC,2024-11-24,125.86,9,0.95
SKU_1,LOC_A,DC,2024-12-01,108.91,9,0.95
SKU_1,LOC_A,DC,2024-12-08,109.12,9,0.95
SKU_1,LOC_A,DC,2024-12-15,111.09,9,0.95
SKU_1,LOC_A,DC,2024-12-22,127.08,9,0.95
SKU_1,LOC_A,DC,2024-12-29,86.25,9,0.95
SKU_1,LOC_A,Store,2024-01-07,138.66,10,0.98
SKU_1,LOC_A,Store,2024-01-14,128.42,10,0.98
SKU_1,LOC_A,Store,2024-01-21,159.56,10,0.98
SKU_1,LOC_A,Store,2024-01-28,155.77,10,0.98
SKU_1,LOC_A,Store,2024-02-04,152.42,10,0.98
SKU_1,LOC_A,Store,2024-02-11,170.46,10,0.98
SKU_1,LOC_A,Store,2024-02-18,140.5,10,0.98
SKU_1,LOC_A,Store,2024-02-25,149.4,10,0.98
SKU_1,LOC_A,Store,2024-03-03,164.8,10,0.98
SKU_1,LOC_A,Store,2024-03-10,142.19,10,0.98
SKU_1,LOC_A,Store,2024-03-17,142.23,10,0.98
SKU_1,LOC_A,Store,2024-03-24,155.9,10,0.98
SKU_1,LOC_A,Store,2024-03-31,136.2,10,0.98
