sku_id,location_id,echelon_type,date,forecast,lead_time,service_level
SKU_1,LOC_1,DC,2023-01-01,1.81,6,0.98
SKU_1,LOC_1,DC,2023-01-02,4.74,17,0.98
SKU_1,LOC_1,DC,2023-01-03,7.69,5,0.98
SKU_1,LOC_1,DC,2023-01-04,5.76,16,0.98
SKU_1,LOC_1,DC,2023-01-05,9.05,10,0.98
SKU_1,LOC_1,DC,2023-01-06,17.12,11,0.98
SKU_1,LOC_1,DC,2023-01-07,9.4,19,0.98
SKU_1,LOC_1,DC,2023-01-08,19.2,17,0.98
SKU_1,LOC_1,DC,2023-01-09,4.29,11,0.98
SKU_1,LOC_1,DC,2023-01-10,2.92,18,0.98
SKU_1,LOC_1,DC,2023-01-11,15.6,13,0.98
SKU_1,LOC_1,DC,2023-01-12,13.55,6,0.98
SKU_1,LOC_1,DC,2023-01-13,21.15,19,0.98
SKU_1,LOC_1,DC,2023-01-14,11.97,19,0.98
SKU_1,LOC_1,DC,2023-01-15,9.55,10,0.98
SKU_1,LOC_1,DC,2023-01-16,25.41,16,0.98
SKU_1,LOC_1,DC,2023-01-17,9.92,10,0.98
SKU_1,LOC_1,DC,2023-01-18,22.19,11,0.98
SKU_1,LOC_1,DC,2023-01-19,25.41,9,0.98
SKU_1,LOC_1,DC,2023-01-20,9.56,6,0.98
SKU_1,LOC_1,DC,2023-01-21,21.22,7,0.98
SKU_1,LOC_1,DC,2023-01-22,19.03,17,0.98
SKU_1,LOC_1,DC,2023-01-23,13.56,14,0.98
SKU_1,LOC_1,DC,2023-01-24,30.43,15,0.98
SKU_1,LOC_1,DC,2023-01-25,13.0,9,0.98
SKU_1,LOC_1,DC,2023-01-26,17.83,5,0.98
SKU_1,LOC_1,DC,2023-01-27,10.56,14,0.98
SKU_1,LOC_1,DC,2023-01-28,13.3,15,0.98
SKU_1,LOC_1,DC,2023-01-29,16.31,18,0.98
SKU_1,LOC_1,DC,2023-01-30,19.57,6,0.98
SKU_1,LOC_1,DC,2023-01-31,15.01,10,0.98
SKU_1,LOC_1,DC,2023-02-01,16.64,17,0.98
SKU_1,LOC_1,DC,2023-02-02,15.13,11,0.98
SKU_1,LOC_1,DC,2023-02-03,23.97,13,0.98
SKU_1,LOC_1,DC,2023-02-04,12.52,11,0.98
SKU_1,LOC_1,DC,2023-02-05,9.34,13,0.98
SKU_1,LOC_1,DC,2023-02-06,12.55,6,0.98
SKU_1,LOC_1,DC,2023-02-07,22.31,14,0.98
SKU_1,LOC_1,DC,2023-02-08,24.68,16,0.98
SKU_1,LOC_1,DC,2023-02-09,25.79,8,0.98
