sku_id,location_id,echelon_type,date,actual,lead_time,service_level
SKU_1,LOC_1,DC,2023-01-01,12.12,12,0.98
SKU_1,LOC_1,DC,2023-01-02,16.12,10,0.98
SKU_1,LOC_1,DC,2023-01-03,6.5,16,0.98
SKU_1,LOC_1,DC,2023-01-04,10.06,14,0.98
SKU_1,LOC_1,DC,2023-01-05,2.15,8,0.98
SKU_1,LOC_1,DC,2023-01-06,8.82,9,0.98
SKU_1,LOC_1,DC,2023-01-07,12.79,17,0.98
SKU_1,LOC_1,DC,2023-01-08,7.29,17,0.98
SKU_1,LOC_1,DC,2023-01-09,11.78,19,0.98
SKU_1,LOC_1,DC,2023-01-10,10.93,19,0.98
SKU_1,LOC_1,DC,2023-01-11,11.87,13,0.98
SKU_1,LOC_1,DC,2023-01-12,10.11,11,0.98
SKU_1,LOC_1,DC,2023-01-13,9.84,14,0.98
SKU_1,LOC_1,DC,2023-01-14,11.78,18,0.98
SKU_1,LOC_1,DC,2023-01-15,13.4,18,0.98
SKU_1,LOC_1,DC,2023-01-16,9.33,13,0.98
SKU_1,LOC_1,DC,2023-01-17,13.39,11,0.98
SKU_1,LOC_1,DC,2023-01-18,21.81,16,0.98
SKU_1,LOC_1,DC,2023-01-19,17.97,5,0.98
SKU_1,LOC_1,DC,2023-01-20,12.83,16,0.98
SKU_1,LOC_1,DC,2023-01-21,11.19,12,0.98
SKU_1,LOC_1,DC,2023-01-22,21.8,8,0.98
SKU_1,LOC_1,DC,2023-01-23,5.09,7,0.98
SKU_1,LOC_1,DC,2023-01-24,18.73,18,0.98
SKU_1,LOC_1,DC,2023-01-25,17.43,17,0.98
SKU_1,LOC_1,DC,2023-01-26,9.54,11,0.98
SKU_1,LOC_1,DC,2023-01-27,19.26,16,0.98
SKU_1,LOC_1,DC,2023-01-28,16.18,7,0.98
SKU_1,LOC_1,DC,2023-01-29,38.34,12,0.98
SKU_1,LOC_1,DC,2023-01-30,9.93,10,0.98
SKU_1,LOC_1,DC,2023-01-31,17.48,9,0.98
SKU_1,LOC_1,DC,2023-02-01,12.19,8,0.98
SKU_1,LOC_1,DC,2023-02-02,16.13,12,0.98
SKU_1,LOC_1,DC,2023-02-03,14.01,12,0.98
SKU_1,LOC_1,DC,2023-02-04,13.7,16,0.98
SKU_1,LOC_1,DC,2023-02-05,16.12,5,0.98
SKU_1,LOC_1,DC,2023-02-06,15.23,13,0.98
SKU_1,LOC_1,DC,2023-02-07,21.28,18,0.98
SKU_1,LOC_1,DC,2023-02-08,19.28,9,0.98
SKU_1,LOC_1,DC,2023-02-09,15.71,8,0.98
SKU_1,LOC_1,DC,2023-02-10,12.71,10,0.98
SKU_1,LOC_1,DC,2023-02-11,21.83,10,0.98
SKU_1,LOC_1,DC,2023-02-12,20.25,6,0.98
SKU_1,LOC_1,DC,2023-02-13,28.41,12,0.98
SKU_1,LOC_1,DC,2023-02-14,18.31,11,0.98
SKU_1,LOC_1,DC,2023-02-15,24.36,5,0.98
SKU_1,LOC_1,DC,2023-02-16,19.44,9,0.98
SKU_1,LOC_1,DC,2023-02-17,17.98,16,0.98
SKU_1,LOC_1,DC,2023-02-18,11.28,10,0.98
SKU_1,LOC_1,DC,2023-02-19,20.98,8,0.98
SKU_1,LOC_1,DC,2023-02-20,14.42,6,0.98
SKU_1,LOC_1,DC,2023-02-21,15.97,17,0.98
SKU_1,LOC_1,DC,2023-02-22,18.12,18,0.98
SKU_1,LOC_1,DC,2023-02-23,17.26,8,0.98
SKU_1,LOC_1,DC,2023-02-24,11.88,5,0.98
SKU_1,LOC_1,DC,2023-02-25,15.3,11,0.98
SKU_1,LOC_1,DC,2023-02-26,66.9,6,0.98
SKU_1,LOC_1,DC,2023-02-27,21.88,17,0.98
SKU_1,LOC_1,DC,2023-02-28,22.1,6,0.98
SKU_1,LOC_1,DC,2023-03-01,19.98,13,0.98
SKU_1,LOC_1,DC,2023-03-02,22.2,9,0.98
SKU_1,LOC_1,DC,2023-03-03,20.52,6,0.98
SKU_1,LOC_1,DC,2023-03-04,18.89,15,0.98
SKU_1,LOC_1,DC,2023-03-05,24.72,13,0.98
SKU_1,LOC_1,DC,2023-03-06,18.8,13,0.98
SKU_1,LOC_1,DC,2023-03-07,16.68,5,0.98
SKU_1,LOC_1,DC,2023-03-08,25.29,15,0.98
SKU_1,LOC_1,DC,2023-03-09,25.5,7,0.98
SKU_1,LOC_1,DC,2023-03-10,13.59,8,0.98
SKU_1,LOC_1,DC,2023-03-11,23.18,18,0.98
SKU_1,LOC_1,DC,2023-03-12,11.8,11,0.98
SKU_1,LOC_1,DC,2023-03-13,25.25,14,0.98
SKU_1,LOC_1,DC,2023-03-14,16.78,8,0.98
SKU_1,LOC_1,DC,2023-03-15,24.25,6,0.98
SKU_1,LOC_1,DC,2023-03-16,18.37,11,0.98
SKU_1,LOC_1,DC,2023-03-17,22.53,10,0.98
SKU_1,LOC_1,DC,2023-03-18,15.3,7,0.98
SKU_1,LOC_1,DC,2023-03-19,20.11,10,0.98
SKU_1,LOC_1,DC,2023-03-20,21.16,15,0.98
SKU_1,LOC_1,DC,2023-03-21,25.64,19,0.98
SKU_1,LOC_1,DC,2023-03-22,29.31,10,0.98
SKU_1,LOC_1,DC,2023-03-23,24.21,16,0.98
SKU_1,LOC_1,DC,2023-03-24,23.09,9,0.98
SKU_1,LOC_1,DC,2023-03-25,17.51,8,0.98
SKU_1,LOC_1,DC,2023-03-26,15.93,14,0.98
SKU_1,LOC_1,DC,2023-03-27,22.91,16,0.98
SKU_1,LOC_1,DC,2023-03-28,38.79,19,0.98
SKU_1,LOC_1,DC,2023-03-29,24.88,5,0.98
SKU_1,LOC_1,DC,2023-03-30,25.38,14,0.98
SKU_1,LOC_1,DC,2023-03-31,24.0,10,0.98
SKU_1,LOC_1,DC,2023-04-01,16.25,6,0.98
SKU_1,LOC_1,DC,2023-04-02,26.44,17,0.98
SKU_1,LOC_1,DC,2023-04-03,22.25,7,0.98
SKU_1,LOC_1,DC,2023-04-04,18.69,18,0.98
SKU_1,LOC_1,DC,2023-04-05,21.08,12,0.98
SKU_1,LOC_1,DC,2023-04-06,16.94,14,0.98
SKU_1,LOC_1,DC,2023-04-07,21.54,18,0.98
SKU_1,LOC_1,DC,2023-04-08,26.3,18,0.98
SKU_1,LOC_1,DC,2023-04-09,21.76,10,0.98
SKU_1,LOC_1,DC,2023-04-10,19.54,7,0.98
SKU_1,LOC_1,DC,2023-04-11,22.2,11,0.98
SKU_1,LOC_1,DC,2023-04-12,25.35,8,0.98
SKU_1,LOC_1,DC,2023-04-13,17.66,18,0.98
SKU_1,LOC_1,DC,2023-04-14,19.14,13,0.98
SKU_1,LOC_1,DC,2023-04-15,24.11,19,0.98
