sku_id,location_id,echelon_type,date,forecast,lead_time,service_level,Promotion,Discount_Percent,Price,Stockout_Flag,On_Hand,Open_POs,Holiday_Flag,Season,Channel,Region_Type,Climate,Lead_Time_Std
SKU_1,LOC_A,DC,2024-01-07,130.42,11,0.9,1,15.07,94.55,0,342.58,128.05,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-01-14,144.9,11,0.9,0,0.0,94.55,0,319.07,128.05,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-01-21,176.08,11,0.9,0,0.0,94.55,0,302.8,177.83,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-01-28,117.57,11,0.9,0,0.0,94.55,0,356.02,177.83,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-02-04,171.71,11,0.9,0,0.0,94.55,0,359.99,181.5,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-02-11,146.02,11,0.9,0,0.0,94.55,0,404.76,181.5,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-02-18,161.99,11,0.9,0,0.0,94.55,0,309.42,54.32,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-02-25,139.36,11,0.9,0,0.0,94.55,0,221.32,54.32,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-03-03,166.04,11,0.9,0,0.0,92.69,0,211.28,155.61,0,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-03-10,181.16,11,0.9,1,7.05,92.69,0,188.8,155.61,1,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-03-17,173.26,11,0.9,1,10.26,92.69,0,153.37,138.49,1,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-03-24,176.89,11,0.9,0,0.0,92.69,0,125.79,138.49,1,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-03-31,154.54,11,0.9,0,0.0,92.69,0,154.66,185.62,1,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-04-07,190.6,11,0.9,0,0.0,92.69,0,161.42,185.62,0,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-04-14,145.22,11,0.9,0,0.0,92.69,0,181.83,167.55,1,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-04-21,138.09,11,0.9,0,0.0,92.69,0,218.18,167.55,1,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-04-28,164.01,11,0.9,0,0.0,92.69,0,228.79,179.35,1,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-05-05,226.23,11,0.9,0,0.0,92.69,0,176.63,179.35,0,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-05-12,189.28,11,0.9,0,0.0,92.69,0,192.61,188.99,0,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-05-19,182.87,11,0.9,0,0.0,92.69,0,205.71,188.99,0,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-05-26,162.3,11,0.9,0,0.0,92.69,0,148.3,118.87,0,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-06-02,167.4,11,0.9,0,0.0,95.47,0,92.71,118.87,0,Summer,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-06-09,182.95,11,0.9,0,0.0,95.47,0,16.3,99.31,0,Summer,Ecommerce,Urban,Tropical,2.49
