sku_id,location_id,echelon_type,date,actual,lead_time,service_level,Promotion,Discount_Percent,Price,Stockout_Flag,On_Hand,Open_POs,Holiday_Flag,Season,Channel,Region_Type,Climate,Lead_Time_Std
SKU_1,LOC_A,DC,2024-01-07,128.73,11,0.9,1,15.07,94.55,0,342.58,128.05,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-01-14,151.56,11,0.9,0,0.0,94.55,0,319.07,128.05,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-01-21,194.09,11,0.9,0,0.0,94.55,0,302.8,177.83,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-01-28,124.61,11,0.9,0,0.0,94.55,0,356.02,177.83,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-02-04,177.53,11,0.9,0,0.0,94.55,0,359.99,181.5,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-02-11,136.73,11,0.9,0,0.0,94.55,0,404.76,181.5,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-02-18,149.66,11,0.9,0,0.0,94.55,0,309.42,54.32,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-02-25,142.41,11,0.9,0,0.0,94.55,0,221.32,54.32,0,Winter,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-03-03,165.65,11,0.9,0,0.0,92.69,0,211.28,155.61,0,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-03-10,178.1,11,0.9,1,7.05,92.69,0,188.8,155.61,1,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-03-17,173.91,11,0.9,1,10.26,92.69,0,153.37,138.49,1,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-03-24,166.07,11,0.9,0,0.0,92.69,0,125.79,138.49,1,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-03-31,156.76,11,0.9,0,0.0,92.69,0,154.66,185.62,1,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-04-07,178.86,11,0.9,0,0.0,92.69,0,161.42,185.62,0,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-04-14,147.14,11,0.9,0,0.0,92.69,0,181.83,167.55,1,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-04-21,131.2,11,0.9,0,0.0,92.69,0,218.18,167.55,1,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-04-28,168.74,11,0.9,0,0.0,92.69,0,228.79,179.35,1,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-05-05,231.51,11,0.9,0,0.0,92.69,0,176.63,179.35,0,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-05-12,173.01,11,0.9,0,0.0,92.69,0,192.61,188.99,0,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-05-19,175.89,11,0.9,0,0.0,92.69,0,205.71,188.99,0,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-05-26,176.28,11,0.9,0,0.0,92.69,0,148.3,118.87,0,Spring,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-06-02,174.46,11,0.9,0,0.0,95.47,0,92.71,118.87,0,Summer,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-06-09,175.72,11,0.9,0,0.0,95.47,0,16.3,99.31,0,Summer,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-06-16,187.89,11,0.9,0,0.0,95.47,1,0.0,99.31,0,Summer,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-06-23,144.88,11,0.9,0,0.0,95.47,1,0.0,61.38,0,Summer,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-06-30,191.12,11,0.9,0,0.0,95.47,1,0.0,61.38,0,Summer,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-07-07,148.32,11,0.9,0,0.0,95.47,1,0.0,72.79,0,Summer,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-07-14,183.13,11,0.9,0,0.0,95.47,1,0.0,72.79,0,Summer,Ecommerce,Urban,Tropical,2.49
SKU_1,LOC_A,DC,2024-07-21,140.95,11,0.9,0,0.0,95.47,1,0.0,77.28,0,Summer,Ecommerce,Urban,Tropical,2.49
